"startdate","enddate","house","refno","Conservatives","Labour","Liberal.Democrats","SNP","Plaid.Cymru","Greens","UKIP","Other","Total","generic"
270,363,"YouGov",110,13,14,0,0,0,2,5,0,34,TRUE
270,363,"YouGov",111,15,13,1,0,0,2,5,0,36,TRUE
270,363,"YouGov",112,12,14,2,0,0,2,3,0,33,TRUE
270,363,"YouGov",113,26,17,3,0,0,5,10,0,61,TRUE
270,363,"YouGov",114,7,5,3,0,3,1,3,0,22,TRUE
270,363,"YouGov",115,6,9,7,19,0,0,1,0,42,TRUE
270,363,"YouGov",116,19,14,3,0,0,6,6,1,49,TRUE
270,363,"YouGov",117,5,32,1,0,0,3,8,3,52,TRUE
270,363,"YouGov",118,12,17,5,0,0,4,8,1,47,TRUE
270,363,"YouGov",119,22,20,21,0,0,6,3,0,72,TRUE
270,363,"YouGov",120,22,11,3,0,0,1,16,0,53,TRUE
270,363,"YouGov",121,29,10,2,0,0,4,8,0,53,TRUE
270,363,"YouGov",122,21,6,7,0,0,4,7,0,45,TRUE
270,363,"YouGov",123,33,15,10,0,0,6,7,1,72,TRUE
270,363,"YouGov",124,14,15,1,0,0,1,5,0,36,TRUE
270,363,"YouGov",125,21,13,5,0,0,7,8,0,54,TRUE
270,363,"YouGov",126,8,18,7,0,3,7,4,0,47,TRUE
270,363,"YouGov",127,22,26,2,0,1,4,7,0,62,TRUE
270,363,"YouGov",128,9,11,1,0,2,2,12,0,37,TRUE
270,363,"YouGov",129,11,23,1,0,6,4,4,1,50,TRUE
270,363,"YouGov",130,15,13,2,0,0,1,8,0,39,TRUE
270,363,"YouGov",131,10,8,2,0,11,1,10,1,43,TRUE
270,363,"YouGov",132,13,7,2,0,4,1,5,2,34,TRUE
270,363,"YouGov",133,20,10,13,0,0,1,7,2,53,TRUE
270,363,"YouGov",134,6,3,0,0,0,1,8,0,18,TRUE
270,363,"YouGov",135,9,11,9,0,14,5,11,1,60,TRUE
270,363,"YouGov",136,16,7,1,0,0,3,3,0,30,TRUE
270,363,"YouGov",137,18,12,0,0,0,4,6,1,41,TRUE
270,363,"YouGov",138,16,3,12,0,0,0,3,1,35,TRUE
270,363,"YouGov",139,29,21,9,0,0,3,7,0,69,TRUE
270,363,"YouGov",140,21,14,3,0,0,1,2,0,41,TRUE
270,363,"YouGov",141,27,11,13,0,0,4,5,0,60,TRUE
270,363,"YouGov",142,12,4,3,0,0,2,5,0,26,TRUE
270,363,"YouGov",143,17,27,3,0,0,6,7,1,61,TRUE
270,363,"YouGov",144,5,18,4,0,0,0,8,0,35,TRUE
270,363,"YouGov",145,24,5,3,0,0,1,5,0,38,TRUE
270,363,"YouGov",146,19,9,3,0,0,2,4,0,37,TRUE
270,363,"YouGov",147,26,5,8,0,0,6,11,0,56,TRUE
270,363,"YouGov",148,24,21,3,0,0,5,7,0,60,TRUE
270,363,"YouGov",149,13,22,5,0,0,1,6,0,47,TRUE
270,363,"YouGov",150,15,8,4,0,0,1,8,2,38,TRUE
