start,end,house,samplesize,Conservatives,Labour,Liberal Democrats,NationalPartiesinUK,Greens,UKIP,Other,NationalPartiesinScotland,samplesizeScotland,NationalPartiesinWalesMidlands,samplesizeWalesMidlands
28/01/2015,29/01/2015,YouGov 2,1593,34,34,6,4,7,14,0,43,139,3,341
29/01/2015,30/01/2015,YouGov 2,1550,32,35,7,5,6,15,1,47,135,3,332
01/02/2015,02/02/2015,YouGov 2,1630,33,35,7,4,6,14,1,35,142,2,349
02/02/2015,03/02/2015,YouGov 2,1705,33,33,7,4,7,14,1,47,148,1,365
03/02/2015,04/02/2015,YouGov 2,1749,34,33,6,5,7,13,1,45,152,2,374
04/02/2015,05/02/2015,YouGov 2,1719,32,33,9,4,5,15,1,37,150,1,368
05/02/2015,06/02/2015,YouGov 2,1668,32,33,7,4,8,15,0,39,145,2,357
08/02/2015,09/02/2015,YouGov 2,1552,34,33,7,5,7,14,1,42,135,2,332
09/02/2015,10/02/2015,YouGov 2,1677,33,35,6,4,8,13,1,43,146,2,359
10/02/2015,11/02/2015,YouGov 2,1764,32,33,7,4,7,15,1,40,153,3,377
11/02/2015,12/02/2015,YouGov 2,1592,31,34,7,5,7,15,0,51,139,2,341
12/02/2015,13/02/2015,YouGov 2,1620,32,35,7,4,7,15,1,37,141,3,347
15/02/2015,16/02/2015,YouGov 2,1580,32,32,6,4,8,16,1,43,137,2,338
16/02/2015,17/02/2015,YouGov 2,1548,33,34,6,4,7,15,1,35,135,1,331
17/02/2015,18/02/2015,YouGov 2,1743,32,34,8,4,6,14,1,43,152,1,373
18/02/2015,19/02/2015,YouGov 2,1564,32,33,9,5,6,15,1,46,136,2,335
19/02/2015,20/02/2015,YouGov 2,1568,33,34,8,5,6,13,1,43,136,2,336
22/02/2015,23/02/2015,YouGov 2,1772,33,33,8,4,7,13,1,39,154,3,379
23/02/2015,24/02/2015,YouGov 2,1520,35,33,6,5,7,14,1,48,133,1,324
24/02/2015,25/02/2015,YouGov 2,1581,33,33,8,5,6,15,0,48,138,1,338
25/02/2015,26/02/2015,YouGov 2,1638,33,34,8,4,6,13,0,42,143,2,351
26/02/2015,27/02/2015,YouGov 2,1959,34,34,8,4,5,14,1,38,170,3,419
01/03/2015,02/03/2015,YouGov 2,1866,35,32,7,4,6,15,1,44,162,1,399
02/03/2015,03/03/2015,YouGov 2,1701,36,34,5,5,6,14,1,40,148,2,364
03/03/2015,04/03/2015,YouGov 2,1544,34,34,8,4,6,14,0,42,134,1,330
04/03/2015,05/03/2015,YouGov 2,1748,31,35,6,4,8,15,0,36,152,2,374
05/03/2015,06/03/2015,YouGov 2,1754,34,33,8,4,5,15,1,43,153,1,375
08/03/2015,09/03/2015,YouGov 2,1745,35,31,8,5,6,14,0,46,152,3,373
09/03/2015,10/03/2015,YouGov 2,1598,33,31,8,5,6,15,1,48,139,3,342
10/03/2015,11/03/2015,YouGov 2,1728,34,35,7,4,5,14,0,43,150,2,370
11/03/2015,12/03/2015,YouGov 2,1619,33,32,7,5,6,16,1,41,141,2,346
12/03/2015,13/03/2015,YouGov 2,1669,34,34,7,5,5,14,1,49,145,1,357
15/03/2015,16/03/2015,YouGov 2,1683,33,35,7,4,7,13,0,37,146,3,360
16/03/2015,17/03/2015,YouGov 2,1830,34,36,7,5,6,12,1,44,159,1,392
17/03/2015,18/03/2015,YouGov 2,1752,33,34,8,4,6,14,1,40,152,2,375
18/03/2015,19/03/2015,YouGov 2,2293,35,33,8,4,6,13,1,40,199,2,491
19/03/2015,20/03/2015,YouGov 2,1532,33,35,8,4,5,14,1,43,133,2,328
22/03/2015,23/03/2015,YouGov 2,1641,34,34,8,5,6,12,1,37,143,5,351
23/03/2015,24/03/2015,YouGov 2,2006,35,35,8,4,6,12,1,34,175,2,429
24/03/2015,25/03/2015,YouGov 2,1610,34,35,8,4,6,12,1,34,140,2,345
25/03/2015,26/03/2015,YouGov 2,1698,36,34,7,4,5,13,0,39,148,3,364
27/03/2015,28/03/2015,YouGov 2,1799,32,36,8,5,6,13,0,45,157,2,385
29/03/2015,30/03/2015,YouGov 2,2001,35,35,8,5,5,12,0,45,174,2,428
30/03/2015,31/03/2015,YouGov 2,1566,35,36,7,5,5,12,1,47,136,1,335
31/03/2015,01/04/2015,YouGov 2,1678,36,34,8,4,4,13,1,42,146,2,359
01/04/2015,02/04/2015,YouGov 2,1583,37,35,7,4,5,12,1,38,138,1,339
03/04/2015,04/04/2015,YouGov 2,1906,34,33,10,5,4,13,1,44,166,2,408
06/04/2015,07/04/2015,YouGov 2,1672,33,35,8,4,5,14,1,43,145,2,358
07/04/2015,08/04/2015,YouGov 2,1871,34,35,8,5,5,13,1,42,163,2,400
08/04/2015,09/04/2015,YouGov 2,1938,35,34,8,5,4,12,1,42,169,2,415
09/04/2015,10/04/2015,YouGov 2,1782,33,35,8,4,5,13,1,40,155,1,381
10/04/2015,11/04/2015,YouGov 2,1887,34,34,7,5,6,13,1,43,164,5,404
11/04/2015,12/04/2015,YouGov 2,1717,33,36,7,4,5,13,1,40,149,1,367
12/04/2015,13/04/2015,YouGov 2,2444,33,34,8,5,6,13,0,44,213,3,523
13/04/2015,14/04/2015,YouGov 2,1842,33,35,8,4,5,13,1,43,160,1,394
14/04/2015,15/04/2015,YouGov 2,1894,34,35,8,5,5,13,1,41,165,3,405
15/05/2015,16/04/2015,YouGov 2,1939,34,34,7,5,5,14,1,44,169,4,415
16/04/2015,17/04/2015,YouGov 2,1713,34,34,9,5,5,14,1,44,149,2,367
17/04/2015,18/04/2015,YouGov 2,1780,33,36,8,4,5,13,1,40,155,2,381
18/04/2015,19/04/2015,YouGov 2,1675,34,35,8,5,5,13,0,47,146,1,358
19/04/2015,20/04/2015,YouGov 2,2078,34,35,7,5,5,13,0,45,181,2,445
20/04/2015,21/04/2015,YouGov 2,1799,35,34,7,5,5,13,1,40,157,4,385
21/04/2015,22/04/2015,YouGov 2,2060,33,34,7,5,5,14,1,44,179,2,441
22/04/2015,23/04/2015,YouGov 2,1834,33,35,8,5,6,13,1,41,160,2,392
23/04/2015,24/04/2015,YouGov 2,1594,33,35,8,4,6,13,1,42,139,2,341
24/04/2015,25/04/2015,YouGov 2,2271,32,34,9,5,6,14,1,40,198,4,486
25/04/2015,26/04/2015,YouGov 2,2096,33,34,8,4,5,14,1,45,182,1,449
26/04/2015,27/04/2015,YouGov 2,2127,35,34,9,5,5,12,1,42,185,4,455
27/04/2015,28/04/2015,YouGov 2,1749,34,35,9,5,4,12,1,46,152,1,374
28/04/2015,29/04/2015,YouGov 2,1823,35,34,9,5,4,12,1,45,159,3,390
29/04/2015,30/04/2015,YouGov 2,1729,34,35,8,5,5,12,1,46,150,2,370
30/04/2015,01/05/2015,YouGov 2,1575,33,34,8,4,5,14,1,42,137,3,337
29/04/2015,30/04/2015,YouGov 2,1970,34,35,9,4,5,12,1,43,171,2,422
01/05/2015,02/05/2015,YouGov 2,1967,34,33,8,5,5,13,1,46,171,2,421
02/05/2015,03/05/2015,YouGov 2,1789,34,33,9,4,5,12,1,42,156,2,383
03/05/2015,04/05/2015,YouGov 2,1664,33,33,10,5,5,12,1,44,145,2,356
04/05/2015,05/05/2015,YouGov 2,2148,34,34,9,5,5,12,1,42,187,3,460
05/05/2015,06/05/2015,YouGov 2,10083,34,34,8,5,5,12,1,48,949,13,515
